"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35","Trait Index 36"
    1,     46,        751,          0,        751,   0.912515,                0,                0,                0,                0,                0,                0,                0,                0,                0,              626,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               99,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               25,                0,                0,                1
    1,     47,        688,          0,        688,   0.916112,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              572,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               95,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               20,                0,                1
    1,     48,        636,          0,        636,   0.924419,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              521,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               94,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               20,                1
    1,     49,        617,          0,        617,   0.970126,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              505,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               93,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               19
    1,     50,       2379,          0,       2379,   3.855754,                0,             1785,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              488,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               90,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               16
    1,     51,       2291,          0,       2291,   0.963010,                0,                0,             1707,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              482,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,               13
    1,     52,       2186,          0,       2186,   0.954168,                0,                0,                0,             1619,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              476,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               82,                0,                0,                0,                0,                0,                0,                0,                0,                9
    1,     53,       2028,          0,       2028,   0.927722,                0,                0,                0,                0,             1482,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              464,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               75,                0,                0,                0,                0,                0,                0,                0,                7
    1,     54,       1855,          0,       1855,   0.914694,                0,                0,                0,                0,                0,             1344,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              439,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               68,                0,                0,                0,                0,                0,                0,                4
    1,     55,       1689,          0,       1689,   0.910512,                0,                0,                0,                0,                0,                0,             1213,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              413,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               59,                0,                0,                0,                0,                0,                4
    1,     56,       1506,          0,       1506,   0.891652,                0,                0,                0,                0,                0,                0,                0,             1061,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              390,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               54,                0,                0,                0,                0,                1
    1,     57,       1342,          0,       1342,   0.891102,                0,                0,                0,                0,                0,                0,                0,                0,              926,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              367,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               48,                0,                0,                0,                1
    1,     58,       1235,          0,       1235,   0.920268,                0,                0,                0,                0,                0,                0,                0,                0,                0,              841,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              350,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               44,                0,                0,                0
    1,     59,       1142,          0,       1142,   0.924696,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              768,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              333,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               41,                0,                0
    1,     60,       1078,          0,       1078,   0.943958,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              720,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              319,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               39,                0
