COMID,COMID_1,rid
23686638,23686638,1323
23671857,23671857,1324
23823111,23823111,1326
23822961,23822961,1327
23687230,23687230,1328
23686758,23686758,1333
23822835,23822835,1342
23824799,23824799,1343
23822099,23822099,1344
23822025,23822025,1345
23822217,23822217,1346
23824609,23824609,1347
23822527,23822527,1348
23822523,23822523,1349
23822517,23822517,1350
23822001,23822001,1351
23822509,23822509,1352
23822507,23822507,1353
23822275,23822275,1354
23823157,23823157,1355
23822297,23822297,1356
23822543,23822543,1357
23822295,23822295,1358
23821993,23821993,1359
23824449,23824449,1360
23822251,23822251,1361
23822497,23822497,1362
23823129,23823129,1363
23824373,23824373,1364
23824385,23824385,1365
23822687,23822687,1366
23824341,23824341,1367
23824263,23824263,1368
23821963,23821963,1369
23822605,23822605,1370
23824215,23824215,1371
23824225,23824225,1372
23824939,23824939,1373
23822481,23822481,1374
23824947,23824947,1375
23822671,23822671,1376
23824123,23824123,1377
23822425,23822425,1378
23822597,23822597,1379
23822599,23822599,1380
23821941,23821941,1381
23824005,23824005,1382
23821937,23821937,1383
23821913,23821913,1384
23824117,23824117,1385
23822441,23822441,1386
23821877,23821877,1387
23822551,23822551,1388
23822555,23822555,1389
23822841,23822841,1390
23823169,23823169,1391
23823975,23823975,1392
23822799,23822799,1393
23822403,23822403,1394
23822469,23822469,1395
23822471,23822471,1396
23822417,23822417,1397
